date,ticker,action,shares,price,held_days
2008-08-01,JNJ,BUY,260.8947093648302,40.35597610473633,0
2008-09-02,SLB,SELL,118.65431518753778,60.163818359375,398
2008-09-02,PG,BUY,168.5168673368075,42.36191177368164,0
2008-10-01,AIG,SELL,39.00959346951215,49.363746643066406,4656
2008-10-01,JPM,BUY,60.308559611293,31.93012237548828,0
2008-11-03,RIG,SELL,149.87732709412134,61.976470947265625,945
2008-12-01,PCG,BUY,363.18531251561416,25.57611083984375,0
2009-02-02,C,SELL,195.57295944806503,26.94266128540039,4780
2009-02-02,BAC,SELL,795.2106680145564,4.605027198791504,3076
2009-02-02,KO,BUY,360.37538786392935,12.391554832458496,0
2009-02-02,VZ,BUY,381.8337707909309,11.695171356201172,0
2009-12-01,JPM,SELL,60.308559611293,27.829984664916992,426
2009-12-01,BAC,BUY,68.47746825749981,12.255025863647461,0
2009-12-01,AAPL,BUY,142.19243142275837,5.90181303024292,0
2010-01-04,PCG,SELL,363.18531251561416,32.57455825805664,399
2010-01-04,JPM,BUY,418.34970242257475,28.27921485900879,0
2010-03-01,KO,SELL,360.37538786392935,16.17182731628418,392
2010-03-01,VZ,SELL,381.8337707909309,11.767468452453613,392
2010-06-01,INTC,BUY,741.4156714382868,13.920862197875977,0
2011-01-03,BAC,SELL,68.47746825749981,10.976491928100586,398
2011-01-03,AMZN,BUY,40.80134303960611,9.211000442504883,0
2011-01-03,KO,BUY,18.40164325629479,20.423240661621094,0
2011-02-01,JPM,SELL,418.34970242257475,30.4614315032959,393
2011-02-01,SLB,BUY,206.7853027397697,61.626869201660156,0
2011-07-01,INTC,SELL,741.4156714382868,15.284355163574219,395
2011-08-01,IBM,BUY,111.49349829297813,101.63875579833984,0
2012-02-01,KO,SELL,18.40164325629479,21.86046600341797,394
2012-03-01,SLB,SELL,206.7853027397697,54.75320053100586,394
2012-05-01,PG,SELL,168.5168673368075,42.91860580444336,1337
2012-05-01,KO,BUY,653.0535275228364,24.96745491027832,0
2012-09-04,IBM,SELL,111.49349829297813,111.6794204711914,400
2012-09-04,PG,BUY,329.0559942075032,45.89911651611328,0
2014-01-02,KO,SELL,653.0535275228364,27.71059799194336,611
2014-01-02,DIS,BUY,263.88380809778187,68.57754516601562,0
2014-07-01,PG,SELL,329.0559942075032,57.003055572509766,665
2014-07-01,GOOG,BUY,650.9040030084643,28.817148208618164,0
2014-11-03,CVX,SELL,379.5174582210159,71.46060943603516,2316
2014-11-03,PG,BUY,361.1341714655218,63.814640045166016,0
2015-08-03,JPM,BUY,79.2502324509606,51.41816711425781,0
2015-11-02,WMT,SELL,267.634523422697,15.839832305908203,2741
2015-11-02,V,BUY,60.68244700690394,69.86016845703125,0
2015-12-01,PG,SELL,361.1341714655218,57.27481460571289,393
2015-12-01,INTC,BUY,745.8459537170901,27.73212432861328,0
2016-09-01,JPM,SELL,79.2502324509606,51.91191101074219,395
2016-09-01,WMT,BUY,99.69143710943548,20.63382339477539,0
2016-09-01,PG,BUY,30.13231745722434,68.2660903930664,0
2016-10-03,DIS,SELL,263.88380809778187,85.8707275390625,1005
2016-11-01,DIS,BUY,264.16942399185695,85.77788543701172,0
2016-12-01,V,SELL,60.68244700690394,70.71485137939453,395
2016-12-01,INTC,SELL,745.8459537170901,27.561233520507812,366
2016-12-01,JPM,BUY,390.48563852430834,63.63251876831055,0
2017-10-02,WMT,SELL,99.69143710943548,22.84027671813965,396
2017-10-02,PG,SELL,30.13231745722434,73.17640686035156,396
2017-10-02,V,BUY,22.55126273746609,99.37258911132812,0
2017-10-02,BA,BUY,9.235347742871548,242.65219116210938,0
2017-12-01,DIS,SELL,264.16942399185695,99.20314025878906,395
2017-12-01,WMT,BUY,924.6207522737961,28.34290313720703,0
2018-05-01,XOM,SELL,629.1913580151056,53.55588912963867,5811
2018-05-01,INTC,BUY,747.5897158612089,45.074058532714844,0
2018-06-01,JPM,SELL,390.48563852430834,87.14842987060547,547
2018-06-01,XOM,BUY,591.5254122013175,57.52958297729492,0
2018-12-03,WMT,SELL,924.6207522737961,29.42743682861328,367
2018-12-03,JPM,BUY,297.81999339661166,91.36128997802734,0
2019-06-03,INTC,SELL,747.5897158612089,37.87018585205078,398
2019-06-03,XOM,SELL,591.5254122013175,52.74342727661133,367
2019-06-03,WMT,BUY,1309.705738346689,30.87736701965332,0
2020-01-02,BA,SELL,9.235347742871548,331.34857177734375,822
2020-01-02,INTC,BUY,412.36720354193676,53.666473388671875,0
2020-04-01,JPM,SELL,297.81999339661166,71.26600646972656,485
2020-04-01,PG,BUY,225.69574217579049,94.0400619506836,0
2021-01-04,INTC,SELL,412.36720354193676,44.90293502807617,368
2021-01-04,TSLA,BUY,38.0595892677439,243.2566680908203,0
2021-01-04,NVDA,BUY,708.0327235778959,13.076018333435059,0
2021-03-01,JNJ,SELL,260.8947093648302,138.3507080078125,4595
2021-03-01,WMT,SELL,1309.705738346689,40.82937240600586,637
2021-03-01,JPM,BUY,339.63966600598644,131.8594970703125,0
2021-03-01,DIS,BUY,235.09780856318585,190.4939727783203,0
2021-05-03,PG,SELL,225.69574217579049,119.76013946533203,397
2021-05-03,WMT,BUY,609.388739160599,44.354862213134766,0
2021-12-01,V,SELL,22.55126273746609,184.13482666015625,1521
2021-12-01,UNH,BUY,5.054377913285972,410.7798156738281,0
2021-12-01,HD,BUY,5.775238827160574,359.506591796875,0
2022-04-01,JPM,SELL,339.63966600598644,121.38227081298828,396
2022-04-01,DIS,SELL,235.09780856318585,133.8479461669922,396
2022-04-01,V,BUY,165.55555897567862,219.54440307617188,0
2022-04-01,JNJ,BUY,229.0779163951534,158.6656494140625,0
2022-06-01,WMT,SELL,609.388739160599,39.9072265625,394
2022-07-01,NVDA,SELL,708.0327235778959,14.499671936035156,543
2022-07-01,META,BUY,217.81330238157477,158.78395080566406,0
2023-01-03,HD,SELL,5.775238827160574,290.767333984375,398
2023-01-03,XOM,BUY,17.595898076724655,95.43421936035156,0
2023-03-01,UNH,SELL,5.054377913285972,446.4050598144531,455
2023-03-01,NVDA,BUY,99.51012144939847,22.674074172973633,0
2023-04-03,JNJ,SELL,229.0779163951534,143.4434814453125,367
2023-06-01,UNH,BUY,70.61289290790351,465.350341796875,0
2023-10-02,V,SELL,165.55555897567862,226.9448699951172,549
2023-10-02,LLY,BUY,71.02747157921206,528.9782104492188,0
2024-02-01,XOM,SELL,17.595898076724655,94.87492370605469,394
2024-02-01,AVGO,BUY,14.256255777312456,117.10013580322266,0
2024-06-03,UNH,SELL,70.61289290790351,476.1825256347656,368
2024-12-02,LLY,SELL,71.02747157921206,792.5557861328125,427
2024-12-02,WMT,BUY,984.093276971311,91.37127685546875,0
2026-01-02,WMT,SELL,984.093276971311,112.52906036376953,396
2026-01-02,LLY,BUY,102.6731112024916,1078.559814453125,0
